id,username,email,organization,purpose,password,role,isActive,createdBy,createdAt,updatedAt
1,test,test@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 00:42:09 GMT+0530 (India Standard Time),Mon Mar 04 2024 00:42:09 GMT+0530 (India Standard Time)
2,test,taaaest@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 00:44:40 GMT+0530 (India Standard Time),Mon Mar 04 2024 00:44:40 GMT+0530 (India Standard Time)
3,test4,test4@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 01:59:09 GMT+0530 (India Standard Time),Mon Mar 04 2024 01:59:09 GMT+0530 (India Standard Time)
4,test,testp@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 02:32:31 GMT+0530 (India Standard Time),Mon Mar 04 2024 02:32:31 GMT+0530 (India Standard Time)
5,test,testp2@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 02:39:12 GMT+0530 (India Standard Time),Mon Mar 04 2024 02:39:12 GMT+0530 (India Standard Time)
6,test432,test4@test23.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 03:36:20 GMT+0530 (India Standard Time),Mon Mar 04 2024 03:36:20 GMT+0530 (India Standard Time)
7,test5,test5@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 04 2024 03:36:50 GMT+0530 (India Standard Time),Mon Mar 04 2024 03:36:50 GMT+0530 (India Standard Time)
8,test19,test@test18.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:00:26 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:00:26 GMT+0530 (India Standard Time)
9,test190,test@test190.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:03:48 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:03:48 GMT+0530 (India Standard Time)
10,test6626@reditt.com,test6626@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:52 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:52 GMT+0530 (India Standard Time)
11,test4333@reditt.com,test4333@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
12,test4025@reditt.com,test4025@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
13,test6156@reditt.com,test6156@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
14,test6097@reditt.com,test6097@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
15,test3291@reditt.com,test3291@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
16,test6540@reditt.com,test6540@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
17,test3564@reditt.com,test3564@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
18,test2605@reditt.com,test2605@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
19,test4382@reditt.com,test4382@reditt.com7@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:38:53 GMT+0530 (India Standard Time)
20,unknowuser23456,unknowuser23456@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Mon Mar 04 2024 04:40:18 GMT+0530 (India Standard Time),Mon Mar 04 2024 04:40:18 GMT+0530 (India Standard Time)
21,tes122t,tes122t@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,dGVzMTIydA==,users,1,,Tue Mar 05 2024 10:16:38 GMT+0530 (India Standard Time),Tue Mar 05 2024 10:16:38 GMT+0530 (India Standard Time)
22,test32,test@test32.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Thu Mar 07 2024 14:36:17 GMT+0530 (India Standard Time),Thu Mar 07 2024 14:36:17 GMT+0530 (India Standard Time)
23,t23est,test@23test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Sun Mar 10 2024 23:33:18 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:33:18 GMT+0530 (India Standard Time)
24,f1b922b8-1834-47f9-a8ba-7153f30b68be,f1b922b8-1834-47f9-a8ba-7153f30b68be@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:33:52 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:33:52 GMT+0530 (India Standard Time)
25,7c816964-dccc-4d26-93fc-f02b148f22c5,7c816964-dccc-4d26-93fc-f02b148f22c5@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:34:00 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:34:00 GMT+0530 (India Standard Time)
26,e7d55b8b-817c-40ba-a5f5-90cbedaa8573,e7d55b8b-817c-40ba-a5f5-90cbedaa8573@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:34:13 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:34:13 GMT+0530 (India Standard Time)
27,62063553-981f-4d6e-b4b1-24c82e554f95,62063553-981f-4d6e-b4b1-24c82e554f95@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:40:12 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:40:12 GMT+0530 (India Standard Time)
28,cfe5be59-21e0-4529-aff4-f441d78b0704,cfe5be59-21e0-4529-aff4-f441d78b0704@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:40:50 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:40:50 GMT+0530 (India Standard Time)
29,9f14e712-473c-473d-824c-012fb9cf4c99,9f14e712-473c-473d-824c-012fb9cf4c99@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:46:51 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:46:51 GMT+0530 (India Standard Time)
30,36c5e378-c6b9-44cc-a952-49ae16a5acb6,36c5e378-c6b9-44cc-a952-49ae16a5acb6@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:54:02 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:54:02 GMT+0530 (India Standard Time)
